Date,Time,ESP_ms,Temperature_C,Pressure_hPa,AngleX,AngleY,AngleZ,AccX_g,AccY_g,AccZ_g,Altitude_m,Result
09-09-2025,23:51:11.197,3924,32.64,976.15,-1.1,-0.52,-2.77,0.003,0.006,0.997,313.59,
09-09-2025,23:51:14.191,6927,32.65,976.15,-1.14,-0.5,-7.57,0.002,-0.002,0.996,313.54,
09-09-2025,23:51:17.192,9930,32.65,976.18,-1.1,-0.52,-12.4,0.003,0.003,0.989,313.35,
09-09-2025,23:51:20.199,12933,32.65,976.14,-1.21,-0.54,-17.25,0,0,0.992,313.62,
09-09-2025,23:51:23.201,15936,32.65,976.15,-1.15,-0.53,-22.12,0.002,0.003,0.994,313.6,
09-09-2025,23:51:26.195,18939,32.66,976.15,-1.1,-0.54,-26.99,-0.002,0.001,0.995,313.53,
09-09-2025,23:51:29.205,21942,32.66,976.15,-1.14,-0.52,-31.87,0.001,0.004,0.994,313.26,
09-09-2025,23:51:32.198,24945,32.67,976.12,-1.15,-0.54,-36.73,-0.001,-0.002,0.998,313.79,
09-09-2025,23:51:35.213,27948,32.66,976.17,-1.14,-0.52,-41.61,-0.002,0.005,0.997,313.38,
09-09-2025,23:51:38.215,30951,32.65,976.18,-1.1,-0.54,-46.51,0,0.002,0.995,313.29,
09-09-2025,23:51:41.216,33954,32.66,976.19,-1.14,-0.55,-51.4,0.004,-0.002,0.996,313.2,
09-09-2025,23:51:44.219,36957,32.67,976.17,-1.1,-0.52,-56.28,-0.001,-0.003,0.997,313.42,
09-09-2025,23:51:47.226,39960,32.66,976.17,-1.13,-0.53,-61.12,-0.003,-0.005,0.993,313.41,
09-09-2025,23:51:50.224,42963,32.66,976.16,-1.12,-0.53,-65.97,-0.001,0.001,0.995,313.48,
09-09-2025,23:51:53.230,45966,32.67,976.17,-1.11,-0.52,-70.82,0.002,0,0.998,313.41,
09-09-2025,23:51:56.230,48969,32.68,976.17,-1.1,-0.53,-75.65,-0.002,-0.001,0.999,313.42,
09-09-2025,23:51:59.238,51972,32.67,976.15,-1.13,-0.52,-80.49,-0.002,-0.001,0.993,313.58,
09-09-2025,23:52:02.239,54975,32.66,976.15,-1.15,-0.5,-85.35,0.005,0.005,0.989,313.53,
09-09-2025,23:52:05.243,57978,32.66,976.17,-1.1,-0.52,-90.2,-0.002,0.001,1.006,313.41,
09-09-2025,23:52:08.244,60981,32.65,976.13,7.74,-1.69,-81.12,0.156,0.229,0.924,313.78,
09-09-2025,23:52:11.244,63984,32.86,976.19,7.83,-12.97,-61.9,0.194,0.154,0.955,313.2,
09-09-2025,23:52:14.246,66987,33.06,976.16,7.58,-13.9,-66.21,0.229,0.157,0.963,313.5,
09-09-2025,23:52:17.253,69990,33.14,976.15,5.49,-14,-70.62,0.226,0.137,0.924,313.56,
09-09-2025,23:52:20.250,72993,33.09,976.17,-2.26,-9.17,-66.84,0.145,0.022,0.969,313.39,
09-09-2025,23:52:23.260,75996,33.87,976.18,-1.17,-11.87,-71.85,0.196,-0.022,0.955,313.32,
09-09-2025,23:52:26.262,78999,33.65,976.21,-2.37,-10.61,-111.92,0.04,-0.089,0.936,313.08,
09-09-2025,23:52:29.263,82002,33.44,976.17,-1.11,-0.59,-117.18,0.002,0.003,0.999,313.41,
09-09-2025,23:52:32.268,85005,33.33,976.15,-0.84,-0.44,-116.92,0.016,-0.01,0.951,313.52,
09-09-2025,23:52:35.259,88008,34.21,976.19,-1.1,0.47,-115.44,-0.012,0.005,0.989,313.19,Anomaly
09-09-2025,23:52:38.272,91011,34.48,976.22,-1.15,0.44,-120.32,-0.018,0.002,0.998,312.95,Anomaly
09-09-2025,23:52:41.278,94014,34.61,976.2,-1.14,0.39,-125.23,-0.015,-0.001,0.991,313.11,Anomaly
09-09-2025,23:52:44.278,97017,34.67,976.21,-1.15,0.22,-130.03,-0.011,0.002,0.993,313.09,Anomaly
09-09-2025,23:52:47.283,100020,34.7,976.22,-1.13,0.23,-134.81,-0.013,0.001,0.998,312.93,Anomaly
09-09-2025,23:52:50.286,103023,34.71,976.23,-1.1,-0.33,-139.53,-0.047,0.002,1.086,312.87,Anomaly
09-09-2025,23:52:53.280,106026,34.11,976.21,-1.05,-0.18,-144.15,-0.006,0,0.993,313.04,Anomaly
09-09-2025,23:52:56.278,109029,33.91,976.2,-1.08,-0.21,-148.78,-0.007,-0.001,0.995,313.15,Anomaly
09-09-2025,23:52:59.292,112032,35.02,976.34,-1.23,0.56,-153.39,-0.014,0.001,0.999,311.91,Anomaly
09-09-2025,23:53:02.286,115035,35.14,976.29,-1.17,0.39,-158.28,-0.036,-0.006,1.008,312.41,Anomaly
09-09-2025,23:53:05.300,118038,35.13,976.18,-1.04,0.07,-163.82,-0.009,0.005,0.992,313.3,Anomaly
09-09-2025,23:53:08.301,121041,34.49,976.23,-1.02,-0.13,-168.38,-0.007,0.003,0.994,312.88,Anomaly
09-09-2025,23:53:11.300,124044,34.19,976.19,-1.02,-0.18,-172.97,-0.002,-0.001,0.993,313.19,Anomaly
